time_id,time_value,hour,minute,am_pm,hour_12,day_period
0000,00:00:00,0,0,AM,12,Early Morning
0015,00:15:00,0,15,AM,12,Early Morning
0030,00:30:00,0,30,AM,12,Early Morning
0045,00:45:00,0,45,AM,12,Early Morning
0100,01:00:00,1,0,AM,1,Early Morning
0115,01:15:00,1,15,AM,1,Early Morning
0130,01:30:00,1,30,AM,1,Early Morning
0145,01:45:00,1,45,AM,1,Early Morning
0200,02:00:00,2,0,AM,2,Early Morning
0215,02:15:00,2,15,AM,2,Early Morning
0230,02:30:00,2,30,AM,2,Early Morning
0245,02:45:00,2,45,AM,2,Early Morning
0300,03:00:00,3,0,AM,3,Early Morning
0315,03:15:00,3,15,AM,3,Early Morning
0330,03:30:00,3,30,AM,3,Early Morning
0345,03:45:00,3,45,AM,3,Early Morning
0400,04:00:00,4,0,AM,4,Early Morning
0415,04:15:00,4,15,AM,4,Early Morning
0430,04:30:00,4,30,AM,4,Early Morning
0445,04:45:00,4,45,AM,4,Early Morning
0500,05:00:00,5,0,AM,5,Early Morning
0515,05:15:00,5,15,AM,5,Early Morning
0530,05:30:00,5,30,AM,5,Early Morning
0545,05:45:00,5,45,AM,5,Early Morning
0600,06:00:00,6,0,AM,6,Morning
0615,06:15:00,6,15,AM,6,Morning
0630,06:30:00,6,30,AM,6,Morning
0645,06:45:00,6,45,AM,6,Morning
0700,07:00:00,7,0,AM,7,Morning
0715,07:15:00,7,15,AM,7,Morning
0730,07:30:00,7,30,AM,7,Morning
0745,07:45:00,7,45,AM,7,Morning
0800,08:00:00,8,0,AM,8,Morning
0815,08:15:00,8,15,AM,8,Morning
0830,08:30:00,8,30,AM,8,Morning
0845,08:45:00,8,45,AM,8,Morning
0900,09:00:00,9,0,AM,9,Morning
0915,09:15:00,9,15,AM,9,Morning
0930,09:30:00,9,30,AM,9,Morning
0945,09:45:00,9,45,AM,9,Morning
1000,10:00:00,10,0,AM,10,Morning
1015,10:15:00,10,15,AM,10,Morning
1030,10:30:00,10,30,AM,10,Morning
1045,10:45:00,10,45,AM,10,Morning
1100,11:00:00,11,0,AM,11,Morning
1115,11:15:00,11,15,AM,11,Morning
1130,11:30:00,11,30,AM,11,Morning
1145,11:45:00,11,45,AM,11,Morning
1200,12:00:00,12,0,PM,12,Afternoon
1215,12:15:00,12,15,PM,12,Afternoon
1230,12:30:00,12,30,PM,12,Afternoon
1245,12:45:00,12,45,PM,12,Afternoon
1300,13:00:00,13,0,PM,1,Afternoon
1315,13:15:00,13,15,PM,1,Afternoon
1330,13:30:00,13,30,PM,1,Afternoon
1345,13:45:00,13,45,PM,1,Afternoon
1400,14:00:00,14,0,PM,2,Afternoon
1415,14:15:00,14,15,PM,2,Afternoon
1430,14:30:00,14,30,PM,2,Afternoon
1445,14:45:00,14,45,PM,2,Afternoon
1500,15:00:00,15,0,PM,3,Afternoon
1515,15:15:00,15,15,PM,3,Afternoon
1530,15:30:00,15,30,PM,3,Afternoon
1545,15:45:00,15,45,PM,3,Afternoon
1600,16:00:00,16,0,PM,4,Afternoon
1615,16:15:00,16,15,PM,4,Afternoon
1630,16:30:00,16,30,PM,4,Afternoon
1645,16:45:00,16,45,PM,4,Afternoon
1700,17:00:00,17,0,PM,5,Evening
1715,17:15:00,17,15,PM,5,Evening
1730,17:30:00,17,30,PM,5,Evening
1745,17:45:00,17,45,PM,5,Evening
1800,18:00:00,18,0,PM,6,Evening
1815,18:15:00,18,15,PM,6,Evening
1830,18:30:00,18,30,PM,6,Evening
1845,18:45:00,18,45,PM,6,Evening
1900,19:00:00,19,0,PM,7,Evening
1915,19:15:00,19,15,PM,7,Evening
1930,19:30:00,19,30,PM,7,Evening
1945,19:45:00,19,45,PM,7,Evening
2000,20:00:00,20,0,PM,8,Evening
2015,20:15:00,20,15,PM,8,Evening
2030,20:30:00,20,30,PM,8,Evening
2045,20:45:00,20,45,PM,8,Evening
2100,21:00:00,21,0,PM,9,Night
2115,21:15:00,21,15,PM,9,Night
2130,21:30:00,21,30,PM,9,Night
2145,21:45:00,21,45,PM,9,Night
2200,22:00:00,22,0,PM,10,Night
2215,22:15:00,22,15,PM,10,Night
2230,22:30:00,22,30,PM,10,Night
2245,22:45:00,22,45,PM,10,Night
2300,23:00:00,23,0,PM,11,Night
2315,23:15:00,23,15,PM,11,Night
2330,23:30:00,23,30,PM,11,Night
2345,23:45:00,23,45,PM,11,Night
